Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
GLG Partners LP,TRAVIS PERKINS PLC,GB00BK9RKT01,0.82,28/06/2023
Point72 Europe (London) LLP,TRAVIS PERKINS PLC,GB00BK9RKT01,0.79,03/07/2023
Qube Research & Technologies Limited,TRAVIS PERKINS PLC,GB00BK9RKT01,0.59,26/06/2023
WorldQuant LLC,Tremor International,IL0011320343,0.59,12/06/2023
GLG Partners LP,TULLOW OIL PLC,GB0001500809,0.80,28/06/2023
Pictet Asset Management Ltd,TULLOW OIL PLC,GB0001500809,2.08,19/06/2023
GLG Partners LP,UNITE GROUP PLC,GB0006928617,0.50,29/06/2023
Armistice Capital LLC,VERONA PHARMA PLC,GB00BYW2KH80,0.51,03/07/2023
Boldhaven Management LLP,Victoria PLC,GB00BZC0LC10,1.39,14/12/2022
"Coltrane Asset Management, L.P.",Victoria PLC,GB00BZC0LC10,0.70,07/06/2023
GLG Partners LP,VIDENDUM PLC,GB0009296665,0.79,29/06/2023
GLG Partners LP,Watches of Switzerland Group Ltd.,GB00BJDQQ870,0.50,06/07/2023
Marshall Wace LLP,Watches of Switzerland Group Ltd.,GB00BJDQQ870,0.60,03/07/2023
Citadel Advisors LLC,Watkin Jones,GB00BD6RF223,0.60,29/06/2023
WorldQuant LLC,Watkin Jones,GB00BD6RF223,0.91,19/06/2023
Franklin Templeton Investment Management Limited,WETHERSPOON(J.D.) PLC,GB0001638955,0.61,23/03/2023
Qube Research & Technologies Limited,WETHERSPOON(J.D.) PLC,GB0001638955,0.59,16/06/2023
Marshall Wace LLP,Wizz Air Holdings PLC,JE00BN574F90,0.66,06/07/2023
Qube Research & Technologies Limited,WOOD GROUP (JOHN) PLC,GB00B5N0P849,0.69,06/07/2023
Systematica Investments Limited,WOOD GROUP (JOHN) PLC,GB00B5N0P849,1.11,21/06/2023
JPMorgan Asset Management (UK) Ltd,XP POWER LTD,SG9999003735,0.81,04/04/2023
Marshall Wace LLP,YELLOW CAKE PLC,JE00BF50RG45,0.67,05/07/2023
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
